"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/parenthood","Parenthood",1989-08-02,"PG-13","Certified-Fresh",91,57,"Upright",76,49342,"Male",14,25,56,1989,"PG-13"
"m/parents","Parents",1989-01-27,"R","Rotten",53,15,"Spilled",54,4369,"Male",4,7,57,1989,"R"
"m/pet_sematary","Pet Sematary",1989-04-21,"R","Rotten",51,35,"Spilled",59,97826,"Male",9,12,75,1989,"R"
"m/physical_evidence","Physical Evidence",1989-01-27,"R","Rotten",22,18,"Spilled",12,1388,"Male",19,23,83,1989,"R"
"m/pink_cadillac","Pink Cadillac",1989-05-26,"PG-13","Rotten",21,19,"Spilled",25,9260,"Male",16,22,73,1989,"PG-13"
"m/police_academy_6_city_under_siege","Police Academy 6 - City Under Siege",1989-03-10,"PG","Rotten",0,7,"Spilled",28,42908,"Male",16,21,76,1989,"PG"
"m/prancer","Prancer",1989-11-17,"G","Fresh",67,24,"Spilled",58,8390,"Male",8,12,67,1989,"G"
"m/puppet_master","Puppet Master",1989-06-01,"R","Rotten",50,8,"Spilled",40,10620,"Male",4,7,57,1989,"R"
"m/red_scorpion","Red Scorpion",1989-01-01,"R","Rotten",17,12,"Spilled",36,7555,"Male",8,8,100,1989,"R"
"m/relentless","Relentless",1989-08-30,"R","Rotten",33,6,"Spilled",33,1485,"Male",23,28,82,1989,"R"
"m/1017666-road_house","Road House",1989-05-19,"R","Rotten",39,44,"Upright",66,60233,"Male",19,31,61,1989,"R"
"m/roger_and_me","Roger & Me",1989-06-01,"R","Fresh",100,31,"Upright",79,19993,"Male",5,6,83,1989,"R"
"m/romero","Romero",1989-08-25,"PG-13","Fresh",78,9,"Upright",80,2536,"Male",14,17,82,1989,"PG-13"
"m/say_anything","Say Anything...",1989-04-01,"PG-13","Certified-Fresh",98,46,"Upright",85,138755,"Male",15,29,52,1989,"PG-13"
"m/sea_of_love","Sea of Love",1989-01-01,"R","Fresh",76,29,"Upright",66,15726,"Male",15,21,71,1989,"R"
"m/1018473-second_sight","Second Sight",1989-11-03,"PG","Rotten",0,6,"Spilled",29,656,"Male",12,16,75,1989,"PG"
"m/see_no_evil_hear_no_evil","See No Evil, Hear No Evil",1989-05-12,"R","Rotten",28,29,"Upright",72,47910,"Male",16,24,67,1989,"R"
"m/see_you_in_the_morning","See You in the Morning",1989-06-01,"PG-13","Rotten",55,11,"Spilled",21,215,"Male",16,26,62,1989,"PG-13"
"m/sex_lies_and_videotape","Sex, Lies, and Videotape",1989-09-22,"R","Certified-Fresh",96,48,"Upright",79,32615,"Male",4,6,67,1989,"R"
"m/shedevil","She-Devil",1989-12-08,"PG-13","Rotten",40,20,"Spilled",48,20044,"Male",7,18,39,1989,"PG-13"
"m/shes_out_of_control","She's Out of Control",1989-04-14,"PG","Rotten",11,19,"Spilled",52,6515,"Male",17,26,65,1989,"PG"
"m/shirley_valentine","Shirley Valentine",1989-08-30,"R","Fresh",73,15,"Upright",86,5837,"Male",5,12,42,1989,"R"
